[14304:10680:0917/104108.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[14304:12392:0917/104108.426:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[14304:10680:0917/104108.552:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[16192:16164:0917/104128.015:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B32786BA402EA52AB1D655A4DB75EE5D will be ignored
[14304:15048:0917/105721.881:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[14304:15048:0917/143622.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143624.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143625.344:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143628.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143629.344:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143630.344:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143632.344:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143634.345:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143635.345:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143642.345:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143645.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143652.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143656.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143657.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143658.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143659.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=78})
[14304:15048:0917/143702.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143703.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143704.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143705.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143706.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143707.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143709.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143710.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=82})
[14304:15048:0917/143712.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=83})
[14304:15048:0917/143714.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=84})
[14304:15048:0917/143715.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=86})
[14304:15048:0917/143717.347:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=87})
[14304:15048:0917/143719.348:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=100})
