[19412:12464:0924/171425.892:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[19412:24604:0924/171425.922:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[19412:12464:0924/171425.940:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[14396:14956:0924/171428.905:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-CE719610F748D9F2CE3A4EB832A4D26C will be ignored
[19412:14048:0924/171432.693:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[19412:14048:0924/212146.312:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=57})
[19412:14048:0924/212148.312:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=56})
[19412:14048:0924/212149.307:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=55})
[19412:14048:0924/212150.321:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=54})
[19412:14048:0924/212152.316:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=55})
[19412:14048:0924/212153.316:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=56})
[19412:14048:0924/212154.315:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=57})
[19412:14048:0924/212155.322:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212203.324:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[19412:14048:0924/212204.318:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212205.334:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=58})
[19412:14048:0924/212211.316:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=59})
[19412:14048:0924/212212.321:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000525402362D40}, {new_limit=60})
